"Cluster","Metabolite","Formula","Super_Class","Class","Sub_Class","HMDB","pct.1","pct.2","avg_log2FC","p_val","p_val_adj"
"胆管间隙 Bile Duct Gap","PE(22:0/20:5(7Z,9Z,11E,13E,17Z)-3OH(5,6,15))","C47H84NO11P",NA,NA,NA,"HMDB0283784",23.6947791164659,22.284365487703,0.0167835739929907,0.478213301134247,1
"胆管间隙 Bile Duct Gap","PE(22:0/PGE2)","C47H86NO11P",NA,NA,NA,"HMDB0283738",59.7054886211513,61.7326185922474,-0.0249460911719739,0.015092362063267,1
"胆管间隙 Bile Duct Gap","PE(22:4(7Z,10Z,13Z,16Z)/22:6(5Z,8E,10Z,13Z,15E,19Z)-2OH(7S, 17S))","C49H78NO10P",NA,NA,NA,"HMDB0284094",48.4605087014726,42.8252027045228,0.0616446165350316,0.00138599198388734,1
"胆管间隙 Bile Duct Gap","PE(22:4(7Z,10Z,13Z,16Z)/P-18:1(11Z))","C45H80NO7P","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","HMDB0009611",92.3694779116466,89.3063262667349,0.01280432930689,0.95834727731654,1
"胆管间隙 Bile Duct Gap","PE(22:5(4Z,7Z,10Z,13Z,16Z)/6 keto-PGF1alpha)","C47H78NO12P",NA,NA,NA,"HMDB0284158",70.4149933065596,67.9607318912803,0.0161126842963226,0.510717192061022,1
"胆管间隙 Bile Duct Gap","PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:6(5Z,7Z,10Z,13Z,16Z,19Z)-OH(4))","C49H74NO9P",NA,NA,NA,"HMDB0284414",58.768406961178,54.1210974328583,0.0728018816118849,0.00019160088509162,1
"胆管间隙 Bile Duct Gap","PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:6(5Z,8E,10Z,13Z,15E,19Z)-2OH(7S, 17S))","C49H74NO10P",NA,NA,NA,"HMDB0284406",99.8661311914324,98.7807423968968,0.0139314044545782,0.901871482592474,1
"胆管间隙 Bile Duct Gap","PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/6 keto-PGF1alpha)","C47H76NO12P",NA,NA,NA,"HMDB0284366",97.5903614457831,97.2087721897476,-0.0237268147105649,0.169107655929883,1
"胆管间隙 Bile Duct Gap","PE(DiMe(11,3)/DiMe(11,3))","C45H78NO10P","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","HMDB0061471",44.1767068273092,42.4667658863777,0.0332218678878112,0.0916710735500128,1
"胆管间隙 Bile Duct Gap","PE(DiMe(11,5)/PGF2alpha)","C47H82NO12P",NA,NA,NA,"HMDB0284784",28.1124497991968,29.9672709640923,-0.030603186795299,0.153744295881975,1
"胆管间隙 Bile Duct Gap","PE(P-18:1(11Z)/PGE1)","C43H78NO10P",NA,NA,NA,"HMDB0260567",86.479250334672,83.4524755542386,0.0440727590044814,0.103346155948391,1
"胆管间隙 Bile Duct Gap","Pegnivacogin","C20H40N3O11P","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","HMDB0256202",73.8955823293173,75.3170204455459,0.0126999166517893,0.084127927831591,1
"胆管间隙 Bile Duct Gap","Pentachlorophenol","C6HCl5O","Benzenoids","Phenols","Halophenols","HMDB0041974",80.9906291834003,72.997030143038,0.0362852807513501,5.94759498553775e-05,1
"胆管间隙 Bile Duct Gap","Pentachlorothioanisole","C7H3Cl5S","Organosulfur compounds","Thioethers","Aryl thioethers","HMDB0256249",98.7951807228916,95.8642553134176,0.0516874669568609,0.000388461465879352,1
"胆管间隙 Bile Duct Gap","Pentafluorobenzyl ether","C14H4F10O","Benzenoids","Benzene and substituted derivatives","Benzylethers","HMDB0256264",96.1178045515395,94.0875602726073,0.0263696315939749,0.0102025996254465,1
"胆管间隙 Bile Duct Gap","Pentafluoropropionic acid","C3HF5O2","Organohalogen compounds","Alkyl halides","Alkyl fluorides","HMDB0256333",99.7322623828648,99.5821323707675,-0.0197687854840547,0.349775452580952,1
"胆管间隙 Bile Duct Gap","Pentasine","C30H49N6O10","Organic acids and derivatives","Carboxylic acids and derivatives","Pentacarboxylic acids and derivatives","HMDB0029803",59.4377510040161,58.9221978288393,0.0212124813929992,0.0955394629341819,1
"胆管间隙 Bile Duct Gap","Pentolame","C23H35NO2","Lipids and lipid-like molecules","Steroids and steroid derivatives","Hydroxysteroids","HMDB0256289",87.4163319946452,83.4220025321229,0.00723570752224739,0.891818611540019,1
"胆管间隙 Bile Duct Gap","Perfluoro(methylcyclohexane)","C7F14","Organohalogen compounds","Alkyl halides","Cyclohexyl halides","HMDB0256314",47.3895582329317,44.1323438299706,0.0491621931794917,0.148757672622583,1
"胆管间隙 Bile Duct Gap","Perfluorohexanoic acid","C6HF11O2","Organohalogen compounds","Alkyl halides","Alkyl fluorides","HMDB0256324",72.5568942436412,65.034479971985,0.0934377339087762,0.000876079760353338,1
"胆管间隙 Bile Duct Gap","Periandrin V","C41H62O14","Lipids and lipid-like molecules","Prenol lipids","Terpene glycosides","HMDB0039591",55.6894243641232,51.7224833661073,0.072366198539398,0.000128686843881717,1
"胆管间隙 Bile Duct Gap","Perillic acid","C10H14O2","Lipids and lipid-like molecules","Prenol lipids","Monoterpenoids","HMDB0004586",75.1004016064257,77.9811370309512,-0.00917713074917892,0.616107401416426,1
"胆管间隙 Bile Duct Gap","Petasitenine","C19H27NO7","Organoheterocyclic compounds","Azaspirodecane derivatives",NA,"HMDB0030328",75.2342704149933,73.5753441262829,0.0215008099890498,0.143036225698411,1
"胆管间隙 Bile Duct Gap","PG(16:0/18:1(12Z)-2OH(9,10))","C40H77O12P",NA,NA,NA,"HMDB0268609",58.2329317269076,52.2996188346847,0.0742943318832382,0.000125349808261722,1
"胆管间隙 Bile Duct Gap","PG(16:0/20:3(5Z,8Z,11Z)-O(14R,15S))","C42H75O11P",NA,NA,NA,"HMDB0260451",55.8232931726908,60.0389246558737,-0.0791686047588535,0.00069437873972607,1
